year_month,BDI_mean,Brent_USD_per_barrel,policy_rate,FAO_23012,FAO_23013,FAO_23014,BWA_FAO_CP_23012,BWA_FAO_CP_23013,BWA_FAO_CP_23014,KEN_FAO_CP_23012,KEN_FAO_CP_23013,KEN_FAO_CP_23014,NAM_FAO_CP_23012,NAM_FAO_CP_23013,NAM_FAO_CP_23014,ZAF_FAO_CP_23012,ZAF_FAO_CP_23013,ZAF_FAO_CP_23014,ZWE_FAO_CP_23012,ZWE_FAO_CP_23013,ZWE_FAO_CP_23014
2001-12,870.1764705882352,18.71,13.5,36.103958,34.47721,4.608727,36.103958,34.47721,4.608727,26.84513,23.35993,2.125098,43.068601,36.948211,11.452823,49.386553,39.664982,11.420016,90.810325,92.842655,1.850332
2002-01,931.3181818181819,19.42,12.5,36.229844,34.794327,5.239702,36.229844,34.794327,5.239702,26.777561,23.059345,0.610673,45.428372,37.264609,11.34455,50.215801,40.336674,12.303151,90.881358,92.983213,1.847484
2002-02,959.55,20.28,12.5,36.280198,35.111444,5.618992,36.280198,35.111444,5.618992,26.812369,22.591119,1.590695,46.319124,38.036057,12.585233,50.822046,40.704449,12.113274,90.952391,93.12377,1.844644
2002-03,1064.75,23.7,12.5,36.758563,35.428561,6.406912,36.758563,35.428561,6.406912,26.857415,22.560452,2.690896,47.209876,38.645378,13.32746,51.331859,41.472829,13.786453,91.023425,93.264328,1.841812
2002-04,1077.4761904761904,25.73,12.5,37.211751,35.745678,7.2758,37.211751,35.745678,7.2758,26.957744,22.652159,1.135065,47.299561,39.338864,14.300584,52.206799,42.25434,15.482588,91.094458,93.404885,1.83899
2002-05,1032.909090909091,25.35,12.5,37.312459,36.062794,7.724501,37.312459,36.062794,7.724501,27.365202,23.310834,2.262944,48.034245,39.701621,14.303788,52.46169,42.569574,15.562524,91.165491,93.545442,1.836176
2002-06,995.0555555555555,24.08,12.5,37.463522,36.379911,8.50368,37.463522,36.379911,8.50368,27.709186,24.002786,3.787563,48.356112,40.333847,15.075749,52.909491,43.34452,17.779318,91.236525,93.686,1.833371
2002-07,988.5652173913044,25.74,12.5,38.672022,36.697028,9.027878,38.672022,36.697028,9.027878,27.565859,24.023765,2.808799,48.836356,40.569098,14.711427,53.749981,43.935592,18.814753,91.307558,93.826557,1.830574
2002-08,1001.7619047619048,26.65,12.5,39.150387,37.014145,9.716459,39.150387,37.014145,9.716459,27.537194,24.158485,2.401649,49.172711,40.742326,14.17975,54.039338,44.697392,20.299835,91.378591,93.967114,1.827786
2002-09,1182.3809523809523,28.4,12.5,39.402158,37.331262,10.486601,39.402158,37.331262,10.486601,27.445055,24.048674,2.356289,49.783108,41.683473,15.790585,54.514701,45.564289,21.477201,91.449624,94.107672,1.825006
2002-10,1365.391304347826,27.54,12.5,39.553221,37.648379,11.244292,39.553221,37.648379,11.244292,27.512624,24.016644,2.508148,50.402054,42.89215,18.110034,55.327629,46.339234,21.820997,91.520658,94.248229,1.822235
2002-11,1460.4285714285713,24.34,12.5,39.830169,37.965496,11.139908,39.830169,37.965496,11.139908,27.63957,24.178011,3.416213,50.821185,43.556513,18.903513,55.988999,46.661034,20.538497,91.591691,94.388786,1.819472
2002-12,1665.9411764705883,28.33,12.5,39.930877,38.282613,11.037445,39.930877,38.282613,11.037445,27.985602,24.681442,5.657176,50.882578,43.525146,17.800413,56.057883,46.818658,18.035244,91.662724,94.529344,1.816717
2003-01,1693.8636363636363,31.18,12.5,40.157471,38.525545,10.723638,40.157471,38.525545,10.723638,28.483152,25.023064,8.515932,51.424072,43.859783,17.698224,56.51257,47.350609,17.388483,91.733758,94.669901,1.813971
2003-02,1673.7,32.77,12.5,40.509951,38.938687,10.900273,40.509951,38.938687,10.900273,28.808708,24.842581,9.966139,51.398259,43.781672,15.105708,56.450573,46.923727,15.279111,91.804791,94.810459,1.811233
2003-03,1849.7619047619048,30.61,12.5,40.68619,39.248544,10.782214,40.68619,39.248544,10.782214,29.576531,25.630247,13.606973,51.704124,43.92184,13.653539,56.781266,47.107614,13.586692,91.875824,94.951016,1.808503
2003-04,2063.55,25.0,12.5,41.240086,39.868258,11.533088,41.240086,39.868258,11.533088,30.094556,26.203161,15.676221,51.818192,44.083407,12.060701,56.912163,47.101048,11.47032,91.946858,95.091573,1.805782
2003-05,2231.2,25.86,12.5,41.491857,40.178115,11.41154,41.491857,40.178115,11.41154,31.445924,28.018325,20.194437,51.908162,44.16956,11.253793,56.912163,47.370307,11.27738,92.017891,95.232131,1.803068
2003-06,2135.904761904762,27.65,13.0,42.045754,40.487972,11.292112,42.045754,40.487972,11.292112,31.517587,28.46015,18.570194,52.162865,44.59711,10.569938,56.808813,47.245526,8.999999,92.088924,95.372688,1.800363
2003-07,2191.913043478261,28.35,13.0,42.020576,40.487972,10.330383,42.020576,40.487972,10.330383,30.573677,27.551948,14.686222,52.15689,44.459804,9.590319,56.519473,47.232395,7.503716,92.159957,95.513245,1.797666
2003-08,2285.95,29.89,13.0,42.196816,40.591257,9.664176,42.196816,40.591257,9.664176,29.814044,26.836273,11.084256,52.314952,44.471182,9.152289,56.643483,47.258673,5.730268,92.230991,95.653803,1.794977
2003-09,2462.8636363636365,27.11,13.0,42.272347,40.591257,8.732615,42.272347,40.591257,8.732615,29.611339,26.590706,10.570364,52.442269,44.668847,7.162009,56.257679,47.192999,3.574533,92.302024,95.79436,1.792296
2003-10,4162.565217391304,29.61,13.0,42.322702,40.487972,7.542404,42.322702,40.487972,7.542404,30.010607,26.943461,12.186618,52.297192,44.265585,3.202066,55.823653,47.422848,2.338437,92.373057,95.934917,1.789623
2003-11,4250.4,28.75,13.0,42.448587,40.487972,6.644127,42.448587,40.487972,6.644127,30.119126,27.089723,12.04281,52.296143,44.19137,1.457547,55.189845,47.75778,2.350453,92.444091,96.075475,1.786958
2003-12,4609.0,29.81,13.0,42.473764,40.591257,6.03053,42.473764,40.591257,6.03053,30.321831,27.444173,11.193555,52.193483,43.832531,0.706226,55.141622,47.573892,1.613104,92.515124,96.216032,1.784301
2004-01,5229.476190476191,31.28,12.0,42.619445,40.694543,5.630027,42.619445,40.694543,5.630027,31.087606,28.09369,12.271183,53.46786,44.18611,0.744022,55.382739,47.974511,1.317622,92.586157,96.35659,1.781652
2004-02,5450.05,30.86,12.0,43.059388,40.901114,5.039788,43.059388,40.901114,5.039788,31.646581,28.131088,13.237379,53.507926,44.163381,0.871846,55.554972,48.059882,2.421281,92.657191,96.497147,1.779011
2004-03,5131.173913043478,33.63,12.0,43.49933,41.314257,5.263158,43.49933,41.314257,5.263158,32.037659,28.489839,11.1571,53.771586,44.459246,1.223552,55.816766,48.112423,2.133007,92.728224,96.637704,1.776377
2004-04,4490.0,33.59,12.0,43.939273,41.933971,5.181347,43.939273,41.933971,5.181347,32.375501,28.860347,10.140707,54.058974,44.64796,1.280647,55.878763,48.112423,2.147245,92.799257,96.778262,1.773752
2004-05,3595.684210526316,37.57,12.0,44.544194,42.037256,4.627249,44.544194,42.037256,4.627249,32.909906,29.755144,6.198866,54.235839,45.01222,1.907785,55.88565,48.184662,1.719126,92.87029,96.918819,1.771134
2004-06,2901.590909090909,35.18,12.0,44.874151,42.347113,4.591837,44.874151,42.347113,4.591837,33.391074,30.719481,7.938577,54.145253,44.883795,0.642833,55.933873,47.928535,1.445659,92.941324,97.059376,1.768523
2004-07,3778.409090909091,38.22,12.0,44.819158,42.037256,3.826531,44.819158,42.037256,3.826531,33.184274,30.706806,11.450578,54.3896,44.757999,0.670708,56.044109,47.652711,0.889891,93.012357,97.199934,1.765921
2004-08,4169.0,42.74,12.0,44.984137,42.140542,3.816794,44.984137,42.140542,3.816794,34.525405,32.586332,21.426444,54.523456,44.678209,0.465531,55.933873,47.56076,0.639222,93.08339,97.340491,1.763326
2004-09,4140.772727272727,43.2,12.0,45.259101,42.243828,4.071247,45.259101,42.243828,4.071247,35.225659,33.458317,25.82711,54.428044,44.561501,-0.240317,55.947662,47.593604,0.848864,93.154424,97.481048,1.760739
2004-10,4539.428571428572,49.78,12.0,45.534065,42.347113,4.591837,45.534065,42.347113,4.591837,35.500028,33.650387,24.892594,54.589115,44.998991,1.656831,56.106106,47.915404,1.038646,93.225457,97.621606,1.758159
2004-11,5308.909090909091,43.11,12.0,45.644051,42.450399,4.846939,45.644051,42.450399,4.846939,35.13352,33.494519,23.6429,54.413378,44.579992,0.879407,56.436799,48.335706,1.21012,93.29649,97.762163,1.755587
2004-12,5518.833333333333,39.6,12.0,45.809029,42.553685,4.834606,45.809029,42.553685,4.834606,35.250229,33.812022,23.202918,54.402982,44.551102,1.639353,56.354126,48.191228,1.297636,93.367523,97.902721,1.753022
2005-01,4501.9,44.51,12.0,46.029,42.65697,4.822335,46.029,42.65697,4.822335,35.710923,33.750519,20.135589,54.817965,44.646137,1.041113,56.52636,48.572135,1.245711,93.438557,98.043278,1.750465
2005-02,4532.25,45.48,12.0,46.193979,42.553685,4.040404,46.193979,42.553685,4.040404,36.056955,33.432591,18.845709,54.664319,44.64921,1.100071,56.553907,48.591833,1.10685,93.50959,98.183835,1.747915
2005-03,4677.9047619047615,53.1,12.0,46.303965,42.553685,3.0,46.303965,42.553685,3.0,36.570884,33.941749,19.13633,54.73421,44.665506,0.46393,56.898374,48.526174,0.859967,93.580623,98.324393,1.745373
2005-04,4532.476190476191,51.88,12.0,46.633922,42.966827,2.463054,46.633922,42.966827,2.463054,37.561887,35.130423,21.725574,54.990993,45.019555,0.832279,57.070607,48.552437,0.914554,93.651657,98.46495,1.742838
2005-05,3667.4,48.65,12.0,47.348828,42.863541,1.965602,47.348828,42.863541,1.965602,37.772783,35.707796,20.005455,54.747385,44.178016,-1.853283,56.932823,48.513028,0.681473,93.72269,98.605507,1.74031
2005-06,2746.090909090909,54.35,12.0,48.063735,43.689827,3.170732,48.063735,43.689827,3.170732,37.36942,35.654143,16.063624,54.912171,44.496186,-0.863584,56.8157,48.276599,0.726213,93.793723,98.746065,1.73779
2005-07,2220.095238095238,57.52,12.0,48.503678,44.412826,5.651106,48.503678,44.412826,5.651106,37.088909,35.57414,15.850993,55.390617,44.968973,0.471366,57.235953,48.644388,2.081051,93.864757,98.886622,1.735277
2005-08,2206.590909090909,63.98,12.0,49.32857,44.825969,6.372549,49.32857,44.825969,6.372549,36.898489,35.580964,9.189838,55.672884,45.197958,1.163317,57.3324,48.703481,2.402655,93.93579,99.027179,1.732772
2005-09,2803.5454545454545,62.91,12.0,49.768513,45.342397,7.334963,49.768513,45.342397,7.334963,36.728544,35.359454,5.682105,56.023221,45.710652,2.5788,57.380624,48.874237,2.690767,94.006823,99.167737,1.730273
2005-10,3161.4285714285716,58.54,12.0,50.648398,45.755539,8.04878,50.648398,45.755539,8.04878,36.820683,35.316329,4.950735,56.163602,46.051111,2.338098,57.449523,48.959608,2.179266,94.077856,99.308294,1.727782
2005-11,2915.5,55.24,12.0,50.813377,46.168682,8.759124,50.813377,46.168682,8.759124,37.256806,35.567412,6.188752,56.294251,46.397385,4.076701,57.43575,49.274842,1.942944,94.14889,99.448852,1.725298
2005-12,2600.0,56.86,12.0,50.978355,46.271968,8.737864,50.978355,46.271968,8.737864,37.91611,36.026684,6.549924,56.353537,46.586586,4.568877,57.490844,49.852768,3.447806,94.219923,99.589409,1.722821
2006-01,2261.7619047619046,62.99,12.0,51.858241,47.201538,10.653753,51.858241,47.201538,10.653753,41.206486,37.435699,10.918882,57.042935,46.77705,4.772894,57.711301,50.305914,3.569493,94.290956,99.729966,1.720351
2006-02,2443.7,60.21,12.0,52.24319,47.717967,12.135922,52.24319,47.717967,12.135922,42.860888,37.419825,11.926192,56.792399,46.633282,4.443691,57.787088,50.43726,3.797815,94.36199,99.870524,1.717888
2006-03,2598.8260869565215,62.06,12.0,52.683133,48.440966,13.834951,52.683133,48.440966,13.834951,43.57138,37.698327,11.067721,57.035339,47.162753,5.590997,57.959321,50.653992,4.384887,94.433023,100.011081,1.715432
2006-04,2465.4444444444443,70.26,12.0,53.288054,49.163966,14.423077,53.288054,49.163966,14.423077,43.139352,37.446207,6.591961,57.102729,47.229061,4.907879,58.097104,50.851011,4.734209,94.504056,100.151638,1.712984
2006-05,2441.8571428571427,69.78,12.0,53.78299,49.78368,16.144578,53.78299,49.78368,16.144578,42.715514,37.605212,5.313731,57.244404,47.537772,7.605041,58.317561,51.094006,5.320175,94.57509,100.292196,1.710542
2006-06,2718.4545454545455,68.56,12.0,54.057954,49.886965,14.184397,54.057954,49.886965,14.184397,41.452189,37.580021,5.401554,57.800162,47.780755,7.381686,58.744701,51.363264,6.39371,94.646123,100.432753,1.708107
2006-07,3049.809523809524,73.67,12.0,54.277925,50.093536,12.790698,54.277925,50.093536,12.790698,40.852264,37.487768,5.379269,58.264864,47.752043,6.188866,59.151165,51.619391,6.115819,94.717156,100.57331,1.705679
2006-08,3686.7272727272725,73.23,12.0,54.607882,50.609965,12.903226,54.607882,50.609965,12.903226,41.143013,37.860962,6.407917,58.764645,48.180427,6.598681,59.557629,51.882083,6.526437,94.788189,100.713868,1.703258
2006-09,4039.1428571428573,61.96,12.0,54.992832,50.71325,11.845103,54.992832,50.71325,11.845103,41.814602,38.09179,7.727316,59.089283,48.724248,6.592764,59.709202,52.414034,7.242665,94.859223,100.854425,1.700844
2006-10,4027.6363636363635,57.81,12.0,55.322789,51.023107,11.512415,55.322789,51.023107,11.512415,42.596757,38.293935,8.431246,59.282643,49.372256,7.211866,60.026105,53.044502,8.343396,94.930256,100.994983,1.698437
2006-11,4190.090909090909,58.76,12.0,55.267796,50.816536,10.067114,55.267796,50.816536,10.067114,42.711419,38.478819,8.185602,59.57257,50.14222,8.07122,60.026105,53.22839,8.023461,95.001289,101.13554,1.696036
2006-12,4335.8125,62.47,12.0,55.322789,50.71325,9.598214,55.322789,50.71325,9.598214,43.827321,39.554414,9.791994,59.753292,50.520464,8.444227,60.260336,53.31376,6.942427,95.072323,101.276097,1.693642
2007-01,4461.681818181818,53.68,12.0,55.707739,51.229679,8.533917,55.707739,51.229679,8.533917,45.193022,39.744784,6.168138,60.259249,50.851016,8.709328,60.701249,54.187223,7.715413,95.143356,101.416655,1.691255
2007-02,4397.75,57.56,12.0,56.037696,51.746107,8.441558,56.037696,51.746107,8.441558,45.780662,38.972484,4.149294,60.453105,51.056573,9.485265,60.625463,54.141247,7.343752,95.214389,101.557212,1.688875
2007-03,5123.136363636364,62.05,12.0,56.092689,52.469106,8.315565,56.092689,52.469106,8.315565,46.130789,38.856652,3.072616,60.76013,51.658042,9.531437,61.045716,54.463047,7.519754,95.285423,101.697769,1.686501
2007-04,5753.684210526316,67.49,12.0,56.587624,53.08882,7.983193,56.587624,53.08882,7.983193,45.580004,38.440941,2.656436,61.271059,52.617532,11.409228,61.5624,55.132925,8.420508,95.356456,101.838327,1.684135
2007-05,6402.238095238095,67.21,12.0,57.192545,54.121676,8.713693,57.192545,54.121676,8.713693,45.420297,38.649659,2.7774,61.607587,53.238059,11.991069,61.84487,55.710851,9.035982,95.427489,101.978884,1.681774
2007-06,5772.142857142857,71.05,12.0,57.577495,55.670961,11.594203,57.577495,55.670961,11.594203,46.055031,39.604616,5.387426,61.779994,53.474105,11.915572,62.285784,56.058914,9.142039,95.498522,102.119441,1.679421
2007-07,6572.136363636364,76.93,12.0,58.402388,56.600532,12.989691,58.402388,56.600532,12.989691,46.390825,40.186112,7.197933,62.33123,54.040664,13.169324,62.823144,56.669684,9.783714,95.569556,102.259999,1.677074
2007-08,7195.090909090909,70.76,12.0,58.567366,57.013674,12.653061,58.567366,57.013674,12.653061,46.231118,40.4829,6.925174,62.704314,54.703767,13.539398,63.222721,57.470908,10.772167,95.640589,102.400556,1.674733
2007-09,8574.05,77.17,12.0,58.732345,57.11696,12.627291,58.732345,57.11696,12.627291,46.716382,40.861978,7.2724,63.010738,55.187707,13.265384,63.580961,58.521678,11.652687,95.711622,102.541114,1.672399
2007-10,10425.91304347826,82.34,12.0,59.337266,57.633388,12.955466,59.337266,57.633388,12.955466,47.091079,41.011553,7.096731,63.533796,55.852146,13.124557,64.166545,59.480511,12.133226,95.782656,102.681671,1.670071
2007-11,10542.681818181818,92.41,12.0,59.502244,58.459673,15.04065,59.502244,58.459673,15.04065,47.764716,41.550114,7.98178,62.668189,56.849359,13.376231,64.366342,60.058437,12.831588,95.853689,102.822228,1.66775
2007-12,9854.125,90.93,12.0,59.832201,58.562959,15.478615,59.832201,58.562959,15.478615,49.101751,42.511485,7.475957,63.053408,57.114041,13.051299,64.821029,60.307998,13.119011,95.924722,102.962786,1.665436
2008-01,7169.818181818182,92.18,12.0,60.38213,60.525386,18.145161,60.38213,60.525386,18.145161,54.799395,43.96966,10.630013,64.043297,58.497851,15.037723,65.723517,61.339071,13.198402,95.995755,103.103343,1.663128
2008-02,6874.238095238095,94.99,12.0,61.097036,61.248386,18.363273,61.097036,61.248386,18.363273,54.642718,44.763908,14.86029,64.202912,58.79827,15.162978,65.88075,61.483059,13.560477,96.066789,103.2439,1.660826
2008-03,8062.578947368421,103.64,12.0,61.646965,61.8681,17.913386,61.646965,61.8681,17.913386,55.213023,45.427847,16.911379,64.935161,59.561777,15.300107,66.82415,62.490978,14.740143,96.137822,103.384458,1.65853
2008-04,8286.863636363636,109.07,12.0,62.9118,62.900956,18.48249,62.9118,62.900956,18.48249,56.773527,47.224924,22.850591,65.968127,61.211054,16.33205,67.29585,63.21092,14.651854,96.208855,103.525015,1.656241
2008-05,10843.65,122.8,12.0,64.121642,64.140384,18.51145,64.121642,64.140384,18.51145,58.227491,48.488806,25.457266,66.559915,61.733528,15.957511,67.767549,64.362828,15.530146,96.279889,103.665572,1.653958
2008-06,10245.095238095239,132.32,12.0,65.881413,65.792954,18.181818,65.881413,65.792954,18.181818,58.891802,48.634982,22.801297,67.168789,62.456171,16.797039,68.710949,65.514735,16.867649,96.350922,103.80613,1.651682
2008-07,8935.739130434782,132.72,12.0,67.146248,67.032382,18.430657,67.146248,67.032382,18.430657,59.142485,48.534819,20.775104,68.781097,63.929352,18.298604,69.811582,66.666642,17.640752,96.421955,103.946687,1.649412
2008-08,7402.5,113.24,12.0,67.366219,67.755381,18.84058,67.366219,67.755381,18.84058,60.095082,49.257919,21.675866,69.258843,64.609777,18.10846,70.283282,67.386585,17.253385,96.492989,104.087245,1.647148
2008-09,4975.090909090909,97.23,12.0,66.981269,68.788238,20.433996,66.981269,68.788238,20.433996,60.728058,49.907216,22.136075,69.685582,65.450194,18.595603,70.597749,68.394504,16.870374,96.564022,104.227802,1.64489
2008-10,1807.5217391304348,71.58,12.0,67.091255,72.093378,25.089606,67.091255,72.093378,25.089606,60.941139,50.307812,22.667416,70.003021,65.861058,17.920372,70.912215,68.970457,15.954715,96.635055,104.368359,1.642638
2008-11,818.95,52.45,12.0,69.016004,72.609806,24.204947,69.016004,72.609806,24.204947,62.000276,51.469626,23.87361,70.345454,66.530335,17.029174,70.912215,69.402423,15.558155,96.706088,104.508917,1.640393
2008-12,743.0,39.95,12.0,68.026133,73.22952,25.044092,68.026133,73.22952,25.044092,62.276028,51.42801,20.974391,70.09316,66.545773,16.513859,70.754982,69.690399,15.557474,96.777122,104.649474,1.638153
2009-01,904.5238095238095,43.44,12.0,68.081126,74.055805,22.354949,68.081126,74.055805,22.354949,62.044146,51.88894,18.010781,71.450497,67.434001,15.27603,71.226682,71.130284,15.962441,96.848155,104.790031,1.63592
2009-02,1815.85,43.32,12.0,68.246105,74.262377,21.247892,68.246105,74.262377,21.247892,62.670854,53.161678,18.760136,71.556284,67.937915,15.544073,71.855615,71.274272,15.925059,93.923211,100.746121,-2.4193
2009-03,1957.8181818181818,46.54,12.0,68.851026,75.191947,21.535893,68.851026,75.191947,21.535893,63.273485,54.114458,19.121776,72.091011,68.654689,15.266354,72.956248,71.706237,14.746544,90.998266,95.11981,-7.994091
2009-04,1659.15,50.18,12.0,69.290968,75.501804,20.032841,69.290968,75.501804,20.032841,63.822751,55.135133,16.750075,72.459659,68.808856,12.412468,73.270715,71.994214,13.895216,90.023285,92.306655,-10.836376
2009-05,2537.6315789473683,57.3,12.0,69.51094,75.708376,18.035427,69.51094,75.708376,18.035427,63.823102,55.035525,13.501506,72.73378,69.255927,12.185273,73.427948,72.282191,12.304251,89.210801,91.603366,-11.635691
2009-06,3822.5454545454545,68.61,12.0,70.500811,75.811661,15.22763,70.500811,75.811661,15.22763,63.955777,54.901631,12.885065,74.305909,69.62473,11.477743,73.742415,72.138203,10.10989,89.698291,90.372611,-12.940969
2009-07,3361.8695652173915,64.44,12.0,71.160725,76.947803,14.791988,71.160725,76.947803,14.791988,64.131462,55.060906,13.446196,74.882193,69.432,8.60739,74.371348,71.706237,7.559395,90.510776,90.548433,-12.889544
2009-08,2684.65,72.51,12.0,71.490682,77.051089,13.719512,71.490682,77.051089,13.719512,64.513578,55.631228,12.938649,75.538176,70.97929,9.858435,74.685814,71.850226,6.623932,90.998266,90.548433,-13.007176
2009-09,2351.409090909091,67.65,12.0,71.65566,76.947803,11.861862,71.65566,76.947803,11.861862,64.816453,55.84019,11.888009,75.530038,70.552637,7.795918,74.843048,71.850226,5.052632,90.510776,89.4935,-14.136633
2009-10,2745.681818181818,72.77,12.0,71.710653,76.947803,6.733524,71.710653,76.947803,6.733524,64.975635,55.980612,11.276181,75.732929,71.101316,7.956535,74.843048,72.42618,5.010438,91.160763,89.845144,-13.915343
2009-11,3940.5714285714284,76.66,12.0,71.930624,77.051089,6.116643,71.930624,77.051089,6.116643,65.098909,56.16626,9.125059,75.773724,70.732039,6.315471,74.843048,72.282191,4.149378,91.160763,90.020967,-13.862884
2009-12,3572.3888888888887,74.46,12.0,71.985617,76.637946,4.654443,71.985617,76.637946,4.654443,65.592009,56.556428,9.972033,75.648947,70.23065,5.537357,75.157514,72.138203,3.512397,91.648254,90.548433,-13.474545
2010-01,3168.35,76.17,12.0,72.260581,76.689589,3.556485,72.260581,76.689589,3.556485,65.734984,56.691132,9.254752,76.767999,71.179445,5.554238,75.314748,72.570168,2.024291,92.298242,92.130833,-12.080537
2010-02,2677.85,73.75,12.0,72.426174,76.689589,3.268428,72.426174,76.689589,3.268428,65.915849,57.014982,7.248273,77.088978,71.743349,5.601341,75.786447,72.42618,1.616162,93.110726,93.889055,-6.806283
2010-03,3206.8260869565215,78.83,12.0,72.922953,77.350617,2.870879,72.922953,77.350617,2.870879,65.783847,56.544961,4.491411,77.172557,71.760932,4.524445,76.415381,72.42618,1.004016,94.248205,96.174744,1.109057
2010-04,3040.6190476190477,84.82,12.0,74.237346,78.362817,3.78933,74.237346,78.362817,3.78933,66.157491,57.22303,3.78687,77.074667,71.449067,3.837021,76.415381,72.570168,0.8,94.248205,97.053855,5.142857
2010-05,3838.0526315789475,75.95,12.0,74.951465,79.178773,4.583902,74.951465,79.178773,4.583902,66.297376,57.477338,4.436795,77.18542,71.032879,2.565776,76.572614,72.714156,0.59761,94.573198,97.581321,6.525912
2010-06,3088.0,74.76,12.0,75.945022,79.230416,4.509537,75.945022,79.230416,4.509537,66.186542,57.301287,4.370827,77.221151,71.056468,2.056365,76.572614,72.42618,0.399202,94.410701,97.053855,7.392996
2010-07,1909.7272727272727,75.58,12.0,76.22446,79.385345,3.167785,76.22446,79.385345,3.167785,66.418489,57.574197,4.564565,78.11681,72.127704,3.88251,77.201547,72.570168,1.204819,94.410701,97.053855,7.184466
2010-08,2432.3333333333335,77.04,12.0,76.276208,79.581587,3.284182,76.276208,79.581587,3.284182,66.590052,58.677076,5.475068,78.014776,71.952233,1.370741,77.201547,73.002133,1.603206,94.248205,97.053855,7.184466
2010-09,2719.4545454545455,77.84,12.0,76.659141,79.529944,3.355705,76.659141,79.529944,3.355705,66.894171,59.012536,5.681115,78.150906,72.398108,2.615736,77.201547,72.858145,1.402806,94.248205,97.053855,8.447937
2010-10,2693.3333333333335,82.67,12.0,76.824734,79.529944,3.355705,76.824734,79.529944,3.355705,67.038669,59.130844,5.627363,78.017748,72.190045,1.531235,77.35878,73.146122,0.994036,94.573198,97.405499,8.414873
2010-11,2321.318181818182,85.28,12.0,77.042075,79.788159,3.552279,77.042075,79.788159,3.552279,67.598713,59.932314,6.70519,78.203119,72.530565,2.542732,77.516014,73.146122,1.195219,94.898192,98.812077,9.765625
2010-12,2030.9444444444443,91.45,12.0,77.321513,79.984401,4.366577,77.321513,79.984401,4.366577,68.549353,60.987948,7.835573,77.963833,71.773538,2.196888,77.673247,73.29011,1.596806,94.573198,97.229677,7.378641
2011-01,1401.8,96.52,12.0,77.983884,80.294258,4.700337,77.983884,80.294258,4.700337,69.295955,61.541847,8.55639,79.281881,72.02868,1.193089,78.144947,75.017971,3.373016,95.54818,98.460432,6.870229
